Gene	sgRNA	eff
ZNF843	sgRNA067543	1
ZNF843	sgRNA067541	1
ZNF843	sgRNA067542	1
HEXDC	sgRNA067587	1
HEXDC	sgRNA067588	1
HEXDC	sgRNA067585	1
HEXDC	sgRNA067586	1
C1orf185	sgRNA067921	1
C1orf185	sgRNA067924	1
C1orf185	sgRNA067922	1
C1orf185	sgRNA067923	1
EPHA6	sgRNA068070	1
EPHA6	sgRNA068071	1
EPHA6	sgRNA068072	1
EPHA6	sgRNA068069	1
OR13D1	sgRNA068443	1
OR13D1	sgRNA068441	1
OR13D1	sgRNA068444	1
OR13D1	sgRNA068442	1
CLEC4D	sgRNA068719	1
CLEC4D	sgRNA068720	1
CLEC4D	sgRNA068717	1
CLEC4D	sgRNA068718	1
TSPAN33	sgRNA069147	1
TSPAN33	sgRNA069145	1
TSPAN33	sgRNA069146	1
TSPAN33	sgRNA069148	1
C16orf96	sgRNA069384	1
C16orf96	sgRNA069381	1
C16orf96	sgRNA069383	1
C16orf96	sgRNA069382	1
OR2A12	sgRNA069748	1
OR2A12	sgRNA069745	1
OR2A12	sgRNA069747	1
OR2A12	sgRNA069746	1
CTU2	sgRNA069932	1
CTU2	sgRNA069931	1
CTU2	sgRNA069929	1
CTU2	sgRNA069930	1
NIPAL4	sgRNA069985	1
NIPAL4	sgRNA069988	1
NIPAL4	sgRNA069986	1
NIPAL4	sgRNA069987	1
LCE2C	sgRNA070083	1
LCE2C	sgRNA070084	1
LCE2C	sgRNA070082	1
LCE2C	sgRNA070081	1
LCE3E	sgRNA070102	1
LCE3E	sgRNA070103	1
LCE3E	sgRNA070104	1
LCE3E	sgRNA070101	1
ONECUT3	sgRNA071858	1
ONECUT3	sgRNA071857	1
ONECUT3	sgRNA071860	1
ONECUT3	sgRNA071859	1
DNAJB3	sgRNA072737	1
